Time,What,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
[time],OPEN LOG
[time],START, #X, #Y, #O, #A
[time],SOLVE INIT,upper bound(s),lower bound(s),init bounds(s),init sample engine(s),init sarsop prune(s),init other,init belief tree(s),total init time
[time],SOLVE START,#iteration,elapsed time,#trials,#backups,lower bound,upper bound,precision,#alphas,#beliefs,total time
[time],SOLVE,#iteration,elapsed time,#trials,#backups,lower bound,upper bound,precision,#alphas,#beliefs,low bound backup time,up bound backup time,#low bound backups,#up bound backups,sample time,prune time,step 0(s),step 1(s),step 2(s),step 3(s),step 4(s),step 5(s),step 6(s),stop,total time
[2017/08/14 21:09:04],SOLVE,1940,25.02,114,3650,1754.43,1763.79,9.35928,1297,1245,0.02,0,37,37,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,1967,25.04,116,3700,1754.45,1763.78,9.33651,1273,1255,0,0.02,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,2000,25.07,118,3765,1754.64,1763.78,9.14425,1304,1273,0.02,0,65,65,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,2022,25.09,119,3800,1754.82,1763.78,8.96336,1332,1279,0.01,0,35,35,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,2046,25.11,121,3850,1754.82,1763.77,8.94899,1334,1290,0.01,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:04],SOLVE,2075,25.13,123,3905,1754.82,1763.77,8.94767,1315,1300,0.01,0,55,55,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2104,25.16,125,3959,1754.82,1763.77,8.94556,1344,1314,0,0,54,54,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2130,25.18,127,4007,1754.82,1763.77,8.94274,1333,1322,0.01,0,48,48,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2160,25.22,129,4063,1754.83,1763.77,8.93328,1337,1332,0.03,0,56,56,0,0,0.01,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:05],SOLVE,2181,25.23,130,4100,1755.09,1763.76,8.67011,1334,1341,0.01,0,37,37,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2207,25.25,132,4150,1755.09,1763.76,8.66988,1343,1351,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2234,25.28,134,4200,1755.09,1763.76,8.66855,1347,1359,0.02,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2263,25.3,136,4250,1755.09,1763.76,8.66734,1354,1366,0.02,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2289,25.32,138,4303,1755.09,1763.76,8.66523,1335,1379,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2319,25.35,140,4359,1755.1,1763.76,8.66106,1353,1394,0.01,0,56,56,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2343,25.37,142,4403,1755.1,1763.75,8.65821,1376,1398,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2376,25.4,144,4465,1755.22,1763.75,8.53113,1373,1410,0.01,0,62,62,0,0.01,0,0,0,0.01,0,0,0,0,0.01
[2017/08/14 21:09:05],SOLVE,2401,25.41,145,4500,1755.23,1763.75,8.5265,1365,1419,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2426,25.43,147,4550,1755.23,1763.75,8.52425,1351,1427,0.01,0.01,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2454,25.46,149,4600,1755.28,1763.75,8.46737,1338,1436,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2479,25.48,151,4650,1755.28,1763.75,8.46551,1344,1443,0,0.01,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2504,25.5,153,4700,1755.4,1763.74,8.34593,1351,1453,0.01,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2533,25.52,155,4750,1755.4,1763.74,8.34521,1369,1461,0.01,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2558,25.55,157,4800,1755.4,1763.74,8.34442,1377,1471,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2584,25.57,159,4850,1755.4,1763.74,8.34236,1367,1481,0,0.01,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2614,25.61,161,4907,1755.4,1763.74,8.34058,1376,1499,0,0.01,57,57,0,0,0.01,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:05],SOLVE,2642,25.62,163,4950,1755.46,1763.74,8.27616,1386,1509,0.01,0,43,43,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2668,25.65,165,5007,1755.55,1763.74,8.18569,1408,1516,0.02,0,57,57,0,0,0.01,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:05],SOLVE,2692,25.66,167,5051,1755.55,1763.74,8.18539,1387,1520,0.01,0,44,44,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2724,25.68,170,5100,1755.95,1763.74,7.78502,1393,1527,0.01,0,49,49,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2748,25.71,172,5153,1755.95,1763.73,7.78337,1406,1536,0,0,53,53,0,0.01,0,0,0,0.01,0,0,0,0,0.01
[2017/08/14 21:09:05],SOLVE,2775,25.73,174,5200,1755.95,1763.73,7.78126,1418,1541,0.02,0,47,47,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2805,25.74,177,5250,1756.07,1763.73,7.66624,1413,1552,0.01,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2833,25.76,180,5307,1756.77,1763.73,6.96339,1402,1558,0.02,0,57,57,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2861,25.78,183,5357,1757.36,1763.73,6.3693,1403,1571,0.01,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2888,25.79,186,5400,1757.54,1763.73,6.19404,1417,1581,0.01,0,43,43,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2919,25.81,188,5450,1758.81,1763.73,4.91854,1442,1596,0,0.01,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2942,25.82,189,5500,1760.28,1763.73,3.45388,1456,1600,0.01,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,2969,25.85,191,5557,1760.31,1763.73,3.41764,1454,1611,0.01,0,57,57,0,0,0.01,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:05],SOLVE,2994,25.87,193,5603,1760.31,1763.73,3.41755,1437,1615,0,0,46,46,0,0.01,0,0,0,0.01,0,0,0,0,0.01
[2017/08/14 21:09:05],SOLVE,3023,25.89,194,5650,1760.31,1763.73,3.4175,1429,1622,0,0.01,47,47,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,3046,25.91,196,5700,1760.32,1763.73,3.41576,1460,1632,0,0.01,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,3077,25.93,198,5750,1760.32,1763.73,3.41556,1453,1635,0.01,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,3105,25.95,201,5800,1760.32,1763.73,3.41556,1452,1639,0.02,0,50,50,0,0,0.01,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:05],SOLVE,3130,25.96,203,5855,1760.32,1763.73,3.41556,1437,1644,0.01,0,55,55,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,3158,25.98,205,5907,1760.32,1763.73,3.41556,1446,1650,0.02,0,52,52,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,3184,26,207,5955,1760.35,1763.73,3.38087,1450,1658,0.01,0,48,48,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,3209,26.02,208,6000,1760.36,1763.73,3.37177,1441,1668,0.01,0,45,45,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,3243,26.06,210,6067,1760.36,1763.73,3.37177,1466,1682,0.03,0,67,67,0,0,0.01,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:05],SOLVE,3262,26.07,211,6100,1760.36,1763.73,3.37177,1460,1686,0.01,0,33,33,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,3289,26.09,214,6151,1760.38,1763.73,3.34915,1450,1690,0,0,51,51,0,0.01,0,0,0,0.01,0,0,0,0,0.01
[2017/08/14 21:09:05],SOLVE,3319,26.1,216,6200,1760.38,1763.73,3.34874,1456,1693,0.01,0,49,49,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:05],SOLVE,3344,26.12,219,6250,1760.38,1763.73,3.34784,1450,1695,0,0.01,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:06],SOLVE,3373,26.14,221,6305,1760.39,1763.73,3.34479,1461,1703,0,0,55,55,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:06],SOLVE,3398,26.16,223,6351,1760.52,1763.73,3.20922,1462,1708,0,0,46,46,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:06],SOLVE,3426,26.18,225,6400,1760.52,1763.73,3.20798,1470,1712,0.01,0,49,49,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:06],SOLVE,3454,26.19,227,6455,1760.52,1763.73,3.20732,1471,1716,0.01,0,55,55,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:06],SOLVE,3481,26.21,229,6505,1760.52,1763.73,3.20696,1452,1719,0.01,0,50,50,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:06],SOLVE,3512,26.24,232,6561,1760.53,1763.73,3.20133,1447,1726,0.02,0,56,56,0,0,0.01,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:06],SOLVE,3538,26.25,233,6600,1760.53,1763.73,3.20125,1433,1734,0.01,0,39,39,0,0,0,0,0,0,0,0,0,0,0
[2017/08/14 21:09:06],SOLVE,3565,26.28,236,6659,1760.53,1763.73,3.20027,1413,1737,0.03,0,59,59,0,0,0.01,0,0,0,0,0,0,0,0.01
[2017/08/14 21:09:06],SOLVE,3591,26.29,237,6700,1760.54,1763.72,3.18787,1429,1742,0.01,0,41,41,0,0,0,0,0,0,0,0,0,0,0
